Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Monday,4,4:00,10475255016,0.202625479,1024329048,0.162398828,13.657,0.172944203,23,0.12195122,8079.329694,0.250478095,1705.20486,0.45576724,13355.48571,0.580097599,1743.912819,0.401871805,17.92933333,0.181733172,9.421333333,0.208285524,8,0.363636364
Monday,5,5:00,16744321392,0.324733145,1013386528,0.160598026,22.306,0.393205491,48,0.426829268,4730.452396,0.116148059,698.6438509,0.134780915,11247.76405,0.471542647,896.1329131,0.150546678,33.36,0.35082772,12.724,0.357871852,10,0.545454545
Monday,6,6:00,24196237376,0.469880128,1542065048,0.247602231,32.04,0.641098123,48,0.426829268,4114.309434,0.091433357,737.9103569,0.14730277,11501.17329,0.484594099,983.3112266,0.176390769,48.872,0.520813547,20.504,0.710248203,11,0.636363636
Monday,7,7:00,23561774240,0.457522178,1494506632,0.23977558,29.69,0.581251433,41,0.341463415,5170.776173,0.133810309,819.437126,0.173301172,12228.01044,0.522028725,1030.365933,0.190340179,38.06266667,0.402361158,17.53333333,0.575699016,10,0.545454545
Monday,8,8:00,19682272056,0.381957982,1161411432,0.184958367,28.117,0.54119235,47,0.414634146,5682.420798,0.154333379,540.4728369,0.084341118,11656.302,0.492583764,801.2402973,0.122415676,36.77866667,0.388290645,17.76,0.585965336,10,0.545454545
Monday,9,9:00,18690005408,0.362630804,1673225464,0.269187197,27.175,0.51720274,44,0.37804878,5035.904457,0.12840034,789.2647335,0.163679376,11113.89594,0.464647977,1065.041163,0.200619683,36.25466667,0.382548472,17.932,0.593755662,10,0.545454545
Monday,10,10:00,17209459304,0.333793012,1320880184,0.211202013,27.686,0.530216212,39,0.317073171,5198.404537,0.134918537,565.7570869,0.092404115,10391.80906,0.427458006,810.9430041,0.125292052,37.492,0.396107596,17.30266667,0.565251525,10,0.545454545
Monday,11,11:00,21914165440,0.425430371,1535743416,0.246561885,29.585,0.578577431,39,0.317073171,3219.466236,0.055539441,612.2711356,0.107237169,9757.974076,0.394813314,860.0920699,0.139862337,57.99866667,0.620826697,19.67866667,0.672866719,10,0.545454545
Monday,12,12:00,21727606152,0.421796605,1707555440,0.274836854,29.29,0.571064762,47,0.414634146,3141.960445,0.052430532,490.9342401,0.068543554,9730.31394,0.393388721,826.1987912,0.129814644,56.41466667,0.603468681,21.084,0.736517906,11,0.636363636
Monday,13,13:00,18153280856,0.352176586,1152969896,0.18356915,25.46,0.473527389,44,0.37804878,3863.756585,0.081383191,549.0387456,0.087072735,10634.64208,0.439964746,796.8459117,0.121112956,38.39066667,0.405955495,15.67866667,0.491696359,10,0.545454545
Monday,14,14:00,12848959160,0.248860031,982105016,0.155450052,20.657,0.35121094,31,0.219512195,3600.673874,0.070830427,343.8230191,0.021630659,8099.700041,0.309406468,547.0215666,0.047052301,43.21733333,0.458847767,18.11066667,0.601847938,10,0.545454545
Monday,15,15:00,12956627776,0.250957179,1058274752,0.167985245,24.548,0.45030178,36,0.280487805,3777.441178,0.07792091,509.3446606,0.074414527,7653.45164,0.286423133,712.2956565,0.096047956,43.94933333,0.466869274,16.124,0.511866659,10,0.545454545
Monday,16,16:00,17573042992,0.340874825,1329594008,0.21263604,26.289,0.494639265,36,0.280487805,4629.496322,0.112098513,447.8926202,0.054817837,10373.27464,0.42650342,724.091795,0.099544932,34.124,0.359199895,18.32133333,0.611389577,11,0.636363636
Monday,17,17:00,18849282352,0.365733169,1443453624,0.231373827,28.568,0.552677821,38,0.304878049,3618.204985,0.071533634,466.8770527,0.060871859,10257.73882,0.420552926,764.3196722,0.111470523,40.77066667,0.432036353,18.908,0.63796123,12,0.727272727
Monday,18,18:00,13776700552,0.266930399,2481629232,0.402225564,29.792,0.583849034,52,0.475609756,5160.286116,0.133389533,1522.510754,0.397507175,9177.944575,0.364939789,1697.721574,0.388178368,36.468,0.384886252,20.31866667,0.701853977,13,0.818181818
Monday,19,19:00,17481695584,0.339095578,2156613712,0.348738017,30.751,0.608271577,48,0.426829268,2853.988567,0.040879415,505.2693808,0.073114945,7777.696719,0.292822184,873.9703932,0.143976579,55.66933333,0.595301062,23.212,0.832900538,13,0.818181818
